id,severity,cvss_score,cvss_vector,finding_type,title,description,impact,mitigation,replication_steps,host_detection_techniques,network_detection_techniques,references,finding_guidance,tags,extra_fields
546,High,,,AD,Accounts with Constrained Delegation configured to krbtgt,"The finding identifies that there are accounts configured with Constrained Delegation to the krbtgt account. This configuration poses a significant security risk because it allows for the generation of arbitrary Ticket Granting Tickets (TGTs). This capability can be exploited in a manner similar to a Golden Ticket attack, granting unauthorized access to network resources and potentially compromising the entire domain. Such access can lead to data breaches, unauthorized data manipulation, and a loss of trust in the system's security.",,"<p>To remediate this issue, follow these steps:</p><ul><li>Identify all accounts configured with Constrained Delegation that include the krbtgt account.</li><li>Reconfigure these accounts to remove the delegation permissions to the krbtgt account.</li><li>Implement strict monitoring of delegation settings across all sensitive accounts to prevent future misconfigurations.</li><li>Conduct regular audits to ensure compliance with security policies and practices regarding account delegations.</li></ul><p>Ensure that these changes are communicated across relevant teams to maintain awareness and vigilance against such security risks.</p>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""High"", ""remediation_impact"": ""High""}"
547,High,,,AD,AD Certificate Authority with Web Enrollment (PetitPotam and ESC8),"Active Directory Certificate Services (AD CS) with Web Enrollment has been identified as having NTLM authentication enabled. This configuration is susceptible to NTLM relay attacks, such as the PetitPotam and ESC8 vulnerabilities. These attacks allow adversaries to relay NTLM authentication requests to potentially gain unauthorized access or escalate privileges within the network, posing a significant security risk.",,"<ul><li>Disable NTLM on all Web Enrollment endpoints to prevent malicious relay attacks.</li><li>Alternatively, restrict access to Web Enrollment services by configuring them to accept connections only from trusted users and devices.</li><li>Implement additional security measures such as Extended Protection for Authentication (EPA) and enable SMB signing to further mitigate the risk.</li><li>Regularly monitor and update server configurations to ensure compliance with security best practices.</li></ul>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
552,High,,,AD,Anonymous access to Active Directory enabled,"The Active Directory (AD) configuration currently permits anonymous access, which is a significant security risk. This setting allows unauthenticated users to potentially retrieve and exploit directory information. Such exposure can lead to unauthorized access, data leakage, and could be leveraged in further attacks against the network. Ensuring that only authenticated and authorized individuals can access directory information is crucial to maintaining the security and integrity of the network.",,"<p>To address this security vulnerability, follow these steps:</p><ul><li><strong>Access the Active Directory settings:</strong> Log in with administrator credentials and navigate to the directory's security settings.</li><li><strong>Disable anonymous access:</strong> Locate the setting that allows anonymous access and disable it to ensure that only authenticated users can access the directory.</li><li><strong>Verify access control settings:</strong> Conduct a review of the current access control lists (ACLs) to ensure that they are configured correctly, granting directory access only to authorized personnel.</li><li><strong>Monitor directory access:</strong> Implement monitoring to detect any unauthorized access attempts and address them promptly.</li><li><strong>Conduct regular audits:</strong> Schedule periodic audits of the directory settings to ensure compliance with security policies.</li></ul>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
559,High,,,AD,Certificate templates that allow requesters to specify a subjectAltName,"Certificate templates allowing requesters to specify a subjectAltName present a significant security risk. This capability, when coupled with specific Enhanced Key Usage (EKU) settings, can enable malicious users to impersonate high-privilege accounts. Such impersonation can lead to unauthorized access to sensitive systems and data, undermine trust in the network's security infrastructure, and facilitate further exploitation of system vulnerabilities.",,"<p>To remediate this issue, the following steps should be taken:</p><ul><li>Review and restrict the ability for requesters to specify a subjectAltName within certificate templates.</li><li>Implement stringent approval processes for any changes to certificate templates, ensuring that any modifications are properly vetted and authorized.</li><li>Conduct regular audits of certificate template configurations to ensure compliance with security policies and best practices.</li><li>Enhance monitoring and logging of certificate requests to detect potential misuse or anomalies in real time.</li></ul>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Low""}"
563,High,,,AD,Changes to Default Domain Policy or Default Domain Controllers Policy in the last 7 days,"The Default Domain Policy and Default Domain Controllers Policy are critical components in a network environment that define security baselines across the domain. Changes to these policies within the last 7 days can introduce misconfigurations, weaken security settings, and potentially allow unauthorized access or changes to the network. It is crucial to monitor and control modifications to these policies to maintain the integrity and security of the domain.",,"<p>To mitigate the risks associated with unauthorized or unintended changes to core Group Policy Objects (GPOs), implement the following steps:</p><ul><li>Establish a strict version control system for all GPOs, ensuring that every change is tracked and documented.</li><li>Enforce a change approval process where modifications to critical policies require authorization from designated security personnel.</li><li>Regularly audit policy changes and conduct reviews to ensure compliance with organizational security standards.</li><li>Implement alerting mechanisms to notify administrators of any unexpected changes to these policies.</li></ul>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""High""}"
565,High,,,AD,Changes to MS LAPS read permissions,"In environments utilizing Microsoft Local Administrator Password Solution (LAPS), improper configuration of read permissions on computer objects can inadvertently expose sensitive local administrator passwords. This exposure significantly increases the risk of lateral movement within the network, as malicious actors could potentially access and control other systems by leveraging these credentials.",,"<p>To mitigate this risk, follow these steps:</p><ol><li>Review and verify the current permissions on computer objects within your LAPS environment.<li>Ensure that only authorized personnel have the ability to read LAPS password attributes. Use role-based access controls to limit this privilege.</li><li>Conduct regular audits of who has access to these permissions and adjust as necessary.</li><li>Implement strong logging and monitoring to detect any unauthorized access attempts.</li></ol>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
573,High,,,AD,Computer account takeover through Kerberos Resource-Based Constrained Delegation (RBCD),"The finding identifies a risk where improperly configured Resource-Based Constrained Delegation (RBCD) allows an attacker who has compromised a computer account to impersonate privileged users. This misuse can lead to unauthorized access to sensitive systems and data, elevating the attacker’s privileges within the network. RBCD is designed to allow specific services to be delegated to act on behalf of users, but if not configured correctly, it can be exploited to gain unauthorized control over critical accounts.",,"<p>To remediate this issue, take the following steps:</p><ul><li>Review and limit the delegation rights by narrowing down the scope of RBCD to only those accounts that absolutely require it.</li><li>Continuously monitor the <code>msDS-Allowed-ToActOnBehalfOfOtherIdentity</code> attribute to detect any unauthorized modifications.</li><li>Implement strict access controls and ensure that privileged accounts are not unnecessarily delegated.</li><li>Regularly audit and update delegation settings according to the principle of least privilege.</li></ul>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
576,High,,,AD,Computers with older OS versions,"The finding identifies computers that are operating with outdated operating system versions. These systems are running unsupported versions of Windows, which significantly increases their exposure to a variety of known vulnerabilities. Such vulnerabilities lack vendor patches, leaving the systems defenseless against potential exploits. This situation constitutes a considerable security risk as attackers can exploit these known vulnerabilities to gain unauthorized access, steal sensitive data, or cause operational disruptions.",,"<p>To address this issue, it is imperative to <strong>upgrade</strong> systems to the latest supported operating system versions. This ensures that security patches are readily available and vulnerabilities are minimized.</p> <p>Alternatively, consider <strong>decommissioning</strong> systems that cannot be upgraded to a supported version. This step will eliminate the risk associated with running unsupported software.</p> <p>Prioritize the upgrade or replacement process based on the criticality of the systems and their exposure to potential threats. Ensure that proper testing is conducted to minimize disruption to operations during the transition.</p>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""High"", ""remediation_impact"": ""High""}"
583,High,,,AD,Dangerous control paths expose certificate containers,"The NTAuthCertificates container is a critical component within a Windows domain environment, used to store certificates that are trusted by all domain members. When unauthorized principals have write permissions to this container, it exposes the organization to significant security risks, including the potential for rogue Certificate Authority (CA) certificate injection. This can lead to unauthorized entities being trusted by domain members, resulting in potential man-in-the-middle attacks, data interception, or unauthorized access to sensitive systems and data.",,"<p>To remediate this issue, it is essential to <strong>restrict write permissions</strong> on the NTAuthCertificates container strictly to trusted security principals. Follow these steps:</p><ol><li>Open the Active Directory Sites and Services console.</li><li>Enable the <strong>View Services Node</strong> from the View menu.</li><li>Navigate to <strong>Services</strong> &gt; <strong>Public Key Services</strong> &gt; <strong>NTAuthCertificates</strong>.</li><li>Right-click on the NTAuthCertificates container and select <strong>Properties</strong>.</li><li>In the Security tab, review the list of principals with permissions and ensure only authorized accounts have <strong>write access</strong>.</li><li>Remove any unauthorized principals and adjust permissions as necessary, ensuring adherence to the principle of least privilege.</li><li>Apply changes and monitor the environment for any unauthorized modifications to the container.</li></ol><p>This action will help prevent unauthorized trust injection and protect the integrity of the domain's certificate trust model.</p>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
590,High,,,AD,Domain controllers in an inconsistent state,"Domain controllers in an inconsistent state pose a significant security risk as they may operate as rogue or spoofed domain controllers. This inconsistent state can facilitate DCShadow attacks, where unauthorized systems mimic legitimate domain controllers to manipulate Active Directory data. Such scenarios compromise the integrity and security of network operations, potentially allowing attackers to gain unauthorized access to sensitive information and disrupt network services.",,"<ul><li>Conduct a thorough audit of all domain controllers to identify and decommission any rogue or misconfigured instances.</li><li>Implement continuous monitoring of domain controller activities, focusing on replication logs and security alerts to detect potential DCShadow attack indicators.</li><li>Ensure that all domain controllers are regularly updated and configured according to established security policies to prevent unauthorized access and activities.</li></ul>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
600,High,,,AD,Ephemeral Admins,"The finding 'Ephemeral Admins' highlights a critical security risk where accounts are temporarily added to an administrative group and removed within 48 hours. This behavior is indicative of either potential privilege misuse or the presence of attacker-controlled accounts that are engineered to evade detection. Such ephemeral access could allow malicious actors to execute administrative tasks undetected, compromising system integrity and confidentiality. Rapid changes in admin group membership should raise concerns about unauthorized privilege elevation and possible scripted attacks designed to exploit elevated permissions without leaving a trace.",,"<p>To address this issue, it is imperative to conduct a thorough investigation of the short-term membership changes within administrative groups. <ul><li>Review audit logs to identify patterns of unauthorized access or suspicious account behavior.</li><li>Implement stricter monitoring controls to alert on unusual or frequent membership changes.</li><li>Consider employing Just-In-Time (JIT) access management to limit the duration of admin privileges.</li><li>Educate users on the importance of secure credential management and the risks associated with administrative access misuse.</li></ul></p>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""High""}"
601,High,,,AD,Evidence of Mimikatz DCShadow attack,"The discovery of a Mimikatz DCShadow attack indicates that a machine has injected unauthorized changes into the Active Directory by mimicking a domain controller's behavior. This is a significant security risk because it bypasses standard auditing mechanisms, making it difficult to detect unauthorized changes. The stealthy nature of this attack allows attackers to manipulate the Active Directory environment, potentially leading to unauthorized access, data breaches, and further compromise of the network infrastructure.",,"<ul><li>Implement continuous monitoring to detect any unauthorized changes to the Active Directory, particularly from systems that are not officially managed.</li><li>Restrict domain controller replication only to systems that have been approved and are under strict control, ensuring that only legitimate domain controllers can perform such operations.</li><li>Regularly audit and review Active Directory logs and configurations to identify and respond to any anomalies promptly.</li><li>Consider deploying additional security measures such as enhanced logging, anomaly detection systems, and network segmentation to further protect the Active Directory environment.</li></ul>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""High""}"
617,High,,,AD,Inheritance enabled on AdminSDHolder object,"The AdminSDHolder object is a critical security feature in Active Directory, designed to protect sensitive accounts by applying a special Access Control List (ACL) that is not affected by normal permission inheritance mechanisms. When inheritance is enabled on the AdminSDHolder object, it poses a significant security risk as it may allow unintended or malicious changes to propagate to accounts that should be protected. This could lead to unauthorized access or privilege escalation, compromising the integrity and security of the entire directory service.",,"To address this issue, it is imperative to conduct a comprehensive audit of the AdminSDHolder ACL inheritance settings. Ensure that inheritance is disabled unless it has been intentionally configured for a specific purpose. This can be achieved by accessing the Active Directory Users and Computers console, navigating to the System container, and examining the AdminSDHolder properties. <br><br> If inheritance is found to be enabled unintentionally, it should be promptly disabled. This action will safeguard the protected accounts from unauthorized permission alterations. It is advisable to document any changes made and ensure that they align with your organization's security policies.",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
620,High,,,AD,krbtgt account with Resource-Based Constrained Delegation (RBCD) enabled,"The krbtgt account, which is a key component of the Kerberos authentication protocol, is configured with Resource-Based Constrained Delegation (RBCD). This is a significant security risk because the krbtgt account is responsible for issuing Kerberos tickets. Enabling RBCD on this account can potentially allow attackers to impersonate other accounts and escalate privileges within the domain, compromising the entire domain security. Such a configuration should never be applied to the krbtgt account as it undermines the integrity of authentication processes.",,"<p>To remediate this issue, it is essential to <strong>remove any RBCD settings from the krbtgt account</strong> immediately. Follow these steps to ensure the security of your domain:</p><ul><li>Access the Active Directory Users and Computers management tool.</li><li>Locate the krbtgt account and examine its properties.</li><li>Navigate to the Delegation tab and ensure that no RBCD settings are applied.</li><li>Conduct a thorough <strong>audit of delegation settings across the entire domain</strong> to identify and rectify any similar misconfigurations.</li><li>Implement monitoring to detect any unauthorized changes to the krbtgt account in the future.</li></ul>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Low"", ""remediation_impact"": ""Low""}"
634,High,,,AD,Non-default principals with DC Sync rights on the domain,"The finding highlights that non-default security principals possess permissions related to DCSync operations, specifically the 'Replicating Directory Changes' permissions on the domain. This level of access can expose sensitive user password hashes, which are critical assets within an organization's IT infrastructure. If an attacker gains control over these principals, they can perform DCSync attacks to extract password data and other sensitive information from the Active Directory. This exposure significantly increases the risk of unauthorized access, data breaches, and lateral movement within the network, making it a substantial security concern.",,<ul><li>Conduct a thorough audit of accounts and security principals that have been granted DCSync-related permissions.</li><li>Identify and document the necessity of these permissions for each account.</li><li>Remove replication permissions on the domain naming context for all accounts where these permissions are not absolutely required.</li><li>Implement monitoring and alerting mechanisms for any changes to replication permissions.</li><li>Ensure that privileged account access is tightly controlled and regularly reviewed.</li></ul>,,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
640,High,,,AD,Objects in privileged groups without adminCount=1 (SDProp),"This finding identifies objects within built-in privileged groups that do not have their adminCount attribute set to 1. These objects pose a security risk as adminCount set to a value other than 1 may indicate that the Discretionary Access Control Lists (DACLs) were manually configured, thereby circumventing the default security descriptor propagation. This can lead to incorrect or inconsistent access permissions, potentially allowing unauthorized access or privilege escalation within the system.",,"<p>To remediate this issue, perform the following steps:</p><ol><li>Review the objects in built-in privileged groups where adminCount is not set to 1.</li><li>Set the adminCount attribute to 1 for each of these objects to ensure proper security descriptor inheritance.</li><li>If the objects should not be part of the privileged group, consider removing them to maintain appropriate access controls.</li><li>Verify the correct application of DACLs across all objects within these groups.</li><li>Conduct regular audits to prevent future occurrences and ensure compliance with security policies.</li></ol>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
641,High,,,AD,Objects with constrained delegation configured,"The finding identifies objects that have been configured with constrained delegation by checking for values within the msDS-AllowedToDelegateTo attribute. However, these objects lack the necessary UserAccountControl bit for protocol transition. This scenario poses a security risk because attackers can exploit delegations to perform lateral movements or escalate privileges within the network, especially if they manage to compromise a service that is trusted to delegate. Without the protocol transition setting enabled, the security posture of the network is weakened, increasing the risk of unauthorized access and data breaches.",,"<p>To address this security issue, follow these remediation steps:</p><ul><li>Audit and review all accounts configured with constrained delegation to ensure they have protocol transition enabled. This will enhance security by allowing only legitimate transitions and reducing the risk of lateral movement.</li><li>Disable any unnecessary delegations to limit the attack surface and prevent potential exploitation by malicious actors.</li><li>Regularly monitor and update the configuration settings to align with the latest security policies and practices.</li><li>Implement access controls and conduct periodic security reviews to ensure delegation settings are compliant with organizational standards.</li></ul>",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
648,High,,,AD,Permission changes on AdminSDHolder object,"The AdminSDHolder object is a critical component in Active Directory environments, responsible for enforcing a consistent set of permissions on protected administrative accounts. Unauthorized changes to the Access Control List (ACL) of the AdminSDHolder can propagate incorrect permissions, potentially granting excessive privileges to unauthorized users. This poses a significant security risk as it could lead to privilege escalation and unauthorized access to sensitive data or operations.",,<ul><li>Conduct a detailed audit of recent changes to the AdminSDHolder ACL to identify any unauthorized modifications.</li><li>Implement strict access controls to ensure that only highly trusted administrative accounts have the ability to modify the AdminSDHolder ACL.</li><li>Regularly review and monitor the ACL settings to ensure compliance with security policies.</li><li>Consider using automated tools to alert on any unauthorized changes to the ACL.</li></ul>,,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
652,High,,,AD,Print spooler service is enabled on a DC,"The Print Spooler service is currently active on domain controllers. This configuration poses a significant security risk as it makes the system vulnerable to remote code execution attacks. Given that domain controllers are critical components of an organization's IT infrastructure, any compromise can lead to severe breaches of security, potentially allowing attackers to gain unauthorized access, escalate privileges, or disrupt operations. The Print Spooler service has a history of vulnerabilities, making it a target for malicious actors seeking to exploit its functionality.",,"To mitigate this risk, it is recommended to <strong>disable the Print Spooler service</strong> on all domain controllers unless it is absolutely necessary for specific workloads that require printing functionalities. This can be achieved by executing the following steps: <ol><li>Access each domain controller via the administrative console.</li><li>Open the 'Services' management console.</li><li>Locate the 'Print Spooler' service from the list.</li><li>Right-click on the service, select 'Properties', and set the 'Startup type' to 'Disabled'.</li><li>Stop the service immediately by clicking on the 'Stop' button.</li></ol> Ensure to evaluate any dependencies on this service before proceeding, and communicate with the respective departments to inform them of the change.",,,,,,"AD,Purple Knight","{""levelofeffort"": ""Medium"", ""remediation_impact"": ""Medium""}"
